day,complaint_type,n
2024-01-25T00:00:00.000,Street Condition,206
2024-01-26T00:00:00.000,Blocked Driveway,464
2024-01-26T00:00:00.000,Damaged Tree,37
2024-01-26T00:00:00.000,Dead/Dying Tree,12
2024-01-26T00:00:00.000,Dirty Condition,190
2024-01-26T00:00:00.000,HEAT/HOT WATER,860
2024-01-26T00:00:00.000,Illegal Fireworks,1
2024-01-26T00:00:00.000,Illegal Parking,1544
2024-01-26T00:00:00.000,Noise - Residential,720
2024-01-26T00:00:00.000,Noise - Street/Sidewalk,159
2024-01-26T00:00:00.000,Rodent,98
2024-01-26T00:00:00.000,Street Condition,178
2024-01-27T00:00:00.000,Blocked Driveway,471
2024-01-27T00:00:00.000,Damaged Tree,25
2024-01-27T00:00:00.000,Dead/Dying Tree,11
2024-01-27T00:00:00.000,Dirty Condition,140
2024-01-27T00:00:00.000,HEAT/HOT WATER,798
2024-01-27T00:00:00.000,Illegal Parking,1383
2024-01-27T00:00:00.000,Noise - Residential,1189
2024-01-27T00:00:00.000,Noise - Street/Sidewalk,289
2024-01-27T00:00:00.000,Rodent,100
2024-01-27T00:00:00.000,Street Condition,120
2024-01-28T00:00:00.000,Blocked Driveway,504
2024-01-28T00:00:00.000,Damaged Tree,16
2024-01-28T00:00:00.000,Dead/Dying Tree,1
2024-01-28T00:00:00.000,Dirty Condition,94
2024-01-28T00:00:00.000,HEAT/HOT WATER,1026
2024-01-28T00:00:00.000,Illegal Parking,1215
2024-01-28T00:00:00.000,Noise - Residential,1000
2024-01-28T00:00:00.000,Noise - Street/Sidewalk,124
2024-01-28T00:00:00.000,Rodent,88
2024-01-28T00:00:00.000,Street Condition,126
2024-01-29T00:00:00.000,Blocked Driveway,470
2024-01-29T00:00:00.000,Damaged Tree,31
2024-01-29T00:00:00.000,Dead/Dying Tree,19
2024-01-29T00:00:00.000,Dirty Condition,173
2024-01-29T00:00:00.000,HEAT/HOT WATER,1232
2024-01-29T00:00:00.000,Illegal Fireworks,1
2024-01-29T00:00:00.000,Illegal Parking,1515
2024-01-29T00:00:00.000,Noise - Residential,606
2024-01-29T00:00:00.000,Noise - Street/Sidewalk,97
2024-01-29T00:00:00.000,Rodent,134
2024-01-29T00:00:00.000,Street Condition,294
2024-01-30T00:00:00.000,Blocked Driveway,527
2024-01-30T00:00:00.000,Damaged Tree,29
2024-01-30T00:00:00.000,Dead/Dying Tree,11
2024-01-30T00:00:00.000,Dirty Condition,163
2024-01-30T00:00:00.000,HEAT/HOT WATER,1365
2024-01-30T00:00:00.000,Illegal Parking,1558
2024-01-30T00:00:00.000,Noise - Residential,632
2024-01-30T00:00:00.000,Noise - Street/Sidewalk,104
2024-01-30T00:00:00.000,Rodent,106
2024-01-30T00:00:00.000,Street Condition,321
2024-01-31T00:00:00.000,Blocked Driveway,478
2024-01-31T00:00:00.000,Damaged Tree,46
2024-01-31T00:00:00.000,Dead/Dying Tree,7
2024-01-31T00:00:00.000,Dirty Condition,145
2024-01-31T00:00:00.000,HEAT/HOT WATER,1306
2024-01-31T00:00:00.000,Illegal Fireworks,1
2024-01-31T00:00:00.000,Illegal Parking,1485
2024-01-31T00:00:00.000,Noise - Residential,607
2024-01-31T00:00:00.000,Noise - Street/Sidewalk,104
2024-01-31T00:00:00.000,Rodent,105
2024-01-31T00:00:00.000,Street Condition,235
2024-02-01T00:00:00.000,Blocked Driveway,466
2024-02-01T00:00:00.000,Damaged Tree,46
2024-02-01T00:00:00.000,Dead/Dying Tree,15
2024-02-01T00:00:00.000,Dirty Condition,171
2024-02-01T00:00:00.000,HEAT/HOT WATER,1061
2024-02-01T00:00:00.000,Illegal Parking,1772
2024-02-01T00:00:00.000,Noise - Residential,536
2024-02-01T00:00:00.000,Noise - Street/Sidewalk,134
2024-02-01T00:00:00.000,Rodent,154
2024-02-01T00:00:00.000,Street Condition,287
2024-02-02T00:00:00.000,Blocked Driveway,514
2024-02-02T00:00:00.000,Damaged Tree,32
2024-02-02T00:00:00.000,Dead/Dying Tree,10
2024-02-02T00:00:00.000,Dirty Condition,135
2024-02-02T00:00:00.000,HEAT/HOT WATER,833
2024-02-02T00:00:00.000,Illegal Parking,1503
2024-02-02T00:00:00.000,Noise - Residential,662
2024-02-02T00:00:00.000,Noise - Street/Sidewalk,119
2024-02-02T00:00:00.000,Rodent,118
2024-02-02T00:00:00.000,Street Condition,177
