complaint_type,dow,hour,n
Rodent,2,11,805
Rodent,2,12,731
Rodent,2,13,667
Rodent,2,14,715
Rodent,2,15,674
Rodent,2,16,640
Rodent,2,17,585
Rodent,2,18,553
Rodent,2,19,520
Rodent,2,2,107
Rodent,2,20,522
Rodent,2,21,553
Rodent,2,22,538
Rodent,2,23,371
Rodent,2,3,75
Rodent,2,4,84
Rodent,2,5,124
Rodent,2,6,229
Rodent,2,7,388
Rodent,2,8,620
Rodent,2,9,797
Rodent,3,0,236
Rodent,3,1,123
Rodent,3,10,725
Rodent,3,11,757
Rodent,3,12,722
Rodent,3,13,685
Rodent,3,14,666
Rodent,3,15,563
Rodent,3,16,619
Rodent,3,17,549
Rodent,3,18,546
Rodent,3,19,533
Rodent,3,2,101
Rodent,3,20,564
Rodent,3,21,519
Rodent,3,22,476
Rodent,3,23,348
Rodent,3,3,89
Rodent,3,4,83
Rodent,3,5,131
Rodent,3,6,269
Rodent,3,7,401
Rodent,3,8,617
Rodent,3,9,732
Rodent,4,0,237
Rodent,4,1,154
Rodent,4,10,793
Rodent,4,11,731
Rodent,4,12,734
Rodent,4,13,668
Rodent,4,14,637
Rodent,4,15,638
Rodent,4,16,564
Rodent,4,17,484
Rodent,4,18,513
Rodent,4,19,568
Rodent,4,2,102
Rodent,4,20,568
Rodent,4,21,528
Rodent,4,22,426
Rodent,4,23,366
Rodent,4,3,81
Rodent,4,4,86
Rodent,4,5,150
Rodent,4,6,213
Rodent,4,7,400
Rodent,4,8,589
Rodent,4,9,741
Rodent,5,0,267
Rodent,5,1,131
Rodent,5,10,730
Rodent,5,11,710
Rodent,5,12,660
Rodent,5,13,656
Rodent,5,14,588
Rodent,5,15,565
Rodent,5,16,516
Rodent,5,17,519
Rodent,5,18,479
Rodent,5,19,471
Rodent,5,2,107
Rodent,5,20,456
Rodent,5,21,481
Rodent,5,22,389
Rodent,5,23,326
Rodent,5,3,74
Rodent,5,4,86
Rodent,5,5,97
Rodent,5,6,237
Rodent,5,7,384
Rodent,5,8,581
Rodent,5,9,705
Rodent,6,0,224
Rodent,6,1,174
Rodent,6,10,482
Rodent,6,11,476
Rodent,6,12,421
Rodent,6,13,436
Rodent,6,14,385
Rodent,6,15,390
Rodent,6,16,392
Rodent,6,17,324
Rodent,6,18,381
Rodent,6,19,406
Rodent,6,2,102
Rodent,6,20,341
Rodent,6,21,380
Rodent,6,22,346
Rodent,6,23,301
Rodent,6,3,76
Rodent,6,4,58
Rodent,6,5,65
Rodent,6,6,122
Rodent,6,7,217
Rodent,6,8,346
Rodent,6,9,464
